"Time","MAC Address","Service Data"
"2022-07-23 00:52:28.430","59:6c:b0:19:a4:0c","5afd127b1901-53bddab1f1e0d0aa-c300000044e272f2"
"2022-07-23 01:07:58.487","6e:19:85:37:e0:60","5afd127c1901-3422420e93e5a1a9-c300000028660030"
"2022-07-23 01:23:28.606","70:9f:0c:eb:c1:25","5afd127d1901-25295ecba23ad85f-c3000000ee301e7c"
"2022-07-23 01:38:58.726","50:0b:81:94:37:16","5afd127e1901-3935305f13686d03-c3000000d7568e6f"
"2022-07-23 01:54:28.826","77:47:4d:bc:53:85","5afd127f1901-e5c4abfcb6f914e2-c300000095b9d80e"
"2022-07-23 02:09:58.943","67:21:f3:e9:14:a6","5afd12801901-3ec95f615c65e897-c300000012b0e956"
"2022-07-23 02:25:29.051","42:25:c6:a1:f8:0b","5afd12811901-3c8ad117701c3a8c-c3000000875be033"
"2022-07-23 02:40:59.170","61:49:82:99:05:c0","5afd12821901-e221d900268cc3df-c30000000d44e649"
"2022-07-23 02:56:29.296","52:86:76:3e:c3:eb","5afd12831901-bfdbe76ad4a0958e-c300000015587372"
"2022-07-23 03:11:59.412","6f:81:9c:b6:f0:54","5afd12841901-dbf1c63c2fbce807-c30000007c59d507"
"2022-07-23 03:27:29.533","48:07:2f:f7:6c:ec","5afd12851901-afc0198b13f4a3aa-c30000008162d966"
"2022-07-23 03:42:59.646","63:0a:e9:e2:15:1c","5afd12861901-9b7052329881a61b-c30000002e26c7a4"
"2022-07-23 03:58:29.720","57:5c:6e:e7:dd:3a","5afd12871901-f55269fa422bcd2b-c30000009bc554b5"
"2022-07-23 04:13:59.771","55:a5:f0:2c:9d:c0","5afd12881901-b220b4771513a686-c30000007fd0a23c"
"2022-07-23 04:29:29.886","60:0d:a0:6e:98:c6","5afd12891901-993c03cfdd3cd197-c30000008886e2b8"
"2022-07-23 04:44:59.907","72:30:f2:59:a7:99","5afd128a1901-9a99aea45bb22830-c3000000ec59f5b7"
"2022-07-23 05:00:29.947","6d:a4:55:4e:36:a3","5afd128c1901-ac497963f35fcf0f-c3000000438decc7"
"2022-07-23 05:16:00.062","4a:c6:a9:77:d6:2f","5afd128d1901-a40e78ab6cfe265a-c300000062ab701c"
"2022-07-23 05:31:30.088","50:32:7a:91:9b:16","5afd128e1901-d70d9f81c1637898-c300000005eca574"
"2022-07-23 05:47:00.201","7c:9f:e0:36:7a:07","5afd128f1901-80f5061f780894f2-c30000004783788d"
"2022-07-23 06:02:30.320","48:88:3b:37:ba:d6","5afd12901901-9a99aea45bb22830-c300000075242063"
"2022-07-23 06:18:00.381","66:5a:02:a1:28:1e","5afd12911901-f2172803f7fd76dc-c30000007bf52932"
"2022-07-23 06:33:30.504","7c:1b:21:c0:e4:f2","5afd12921901-06e5a24989bc8cc8-c300000015055810"
"2022-07-23 06:49:00.595","7b:a7:24:fd:e0:16","5afd12931901-53635185c7682bd3-c3000000363db0df"
"2022-07-23 07:04:30.670","4f:84:e6:7d:60:60","5afd12941901-515105cfeaa576c9-c300000035da21d3"
"2022-07-23 07:20:00.786","7b:f1:d0:f4:08:b7","5afd12951901-d7f4d2f75980d3ff-c3000000be03487d"
"2022-07-23 07:35:30.906","73:ee:09:ac:16:28","5afd12961901-431c496f9387135d-c30000005bd41644"
"2022-07-23 07:51:01.020","74:3d:57:d7:95:f3","5afd12971901-48dc99caa600ef07-c3000000041f42a5"
"2022-07-23 08:06:31.111","40:57:72:70:c4:1e","5afd12981901-b490ed2516e0f1b2-c3000000bff254f1"
"2022-07-23 08:22:01.230","46:3e:4e:00:4c:fe","5afd12991901-ca34b304c61453ff-c30000001a65e6b9"
"2022-07-23 08:37:31.347","43:92:b8:56:de:0b","5afd129a1901-804b7c95c7abefcb-c3000000cdabdcea"
"2022-07-23 08:53:01.470","73:89:5a:91:19:68","5afd129b1901-9eb671e6df5cf444-c30000006d234553"
"2022-07-23 09:08:31.511","70:c7:66:60:3d:e0","5afd129c1901-cfd3376311841500-c30000003f974931"
"2022-07-23 09:24:01.543","46:d1:d6:5b:3e:ff","5afd129d1901-ed94dbb0e0373dd5-c300000038418f74"
"2022-07-23 09:39:31.580","53:48:89:cd:8c:76","5afd129e1901-b5da3c25af2138e0-c30000006e431f39"
"2022-07-23 09:55:01.697","5c:0e:21:64:a4:93","5afd129f1901-86d81f6d1cbaa7d3-c300000011e3e14a"
"2022-07-23 10:10:31.806","4e:e5:ed:2e:48:e5","5afd12a01901-4bec1b7dff970647-c30000008b0c7830"
"2022-07-23 10:26:01.895","63:02:07:eb:2b:b3","5afd12a11901-95f2d95f852bd91f-c300000018ef7505"
"2022-07-23 10:41:32.012","5c:27:37:2b:6d:09","5afd12a21901-7a1a3299df2538d9-c30000007c2e459c"
"2022-07-23 10:57:02.132","40:29:d6:8f:f8:10","5afd12a31901-3c1dcfe8da106375-c3000000c42f5225"
"2022-07-23 11:12:32.250","5b:4b:f7:22:3a:dc","5afd12a41901-86c69f671cb61968-c300000066c8ece0"
"2022-07-23 11:28:02.364","44:81:a5:2f:cd:ac","5afd12a51901-aed07019e69899fe-c300000062732501"
"2022-07-23 11:43:32.484","5b:6f:77:50:c8:da","5afd12a61901-fdcbe8734f1e8b10-c30000009ed582e4"
"2022-07-23 11:59:02.606","65:74:31:3a:80:d3","5afd12a71901-53145c7936ce756e-c30000005918829c"
"2022-07-23 12:14:32.700","6b:e6:04:5e:43:cb","5afd12a81901-3721d83b65847c52-c30000001cf75cbf"
"2022-07-23 12:30:02.733","5f:3c:ee:1e:f1:bf","5afd12a91901-2d301773acc07947-c30000006c0f0056"
"2022-07-23 12:30:02.734","6a:77:0e:15:35:f5","5afd12aa1901-bbd84405a9c9318a-c30000002f5a6f21"
"2022-07-23 12:45:32.852","40:e6:d5:6a:02:55","5afd12ab1901-66898d981f0f9911-c3000000d59e7ad7"
"2022-07-23 13:01:10.867","75:4a:3c:e1:e8:19","5afd12ac1901-130e6bd4dc7335e7-c3000000ef4d5f0f"
"2022-07-23 13:16:40.984","71:8a:ed:b3:cc:91","5afd12ad1901-1bd05933134a94b7-c3000000ed5475a0"
"2022-07-23 13:32:11.105","64:fe:d2:6e:86:82","5afd12ae1901-50749268ead47cb3-c30000007ad08deb"
"2022-07-23 13:47:41.218","6b:6b:07:d8:8c:4b","5afd12af1901-ed90d460e04db18e-c30000006b2d7a58"
