"Time","MAC Address","Service Data"
"2022-07-23 15:02:32.608","79:d6:fc:32:4e:7a","5afd12b41901-36d7e2ad95701dda-c300000033f02ace"
"2022-07-23 15:18:02.720","6c:9c:8b:6d:bc:4d","5afd12b51901-7fd8aeb92860b76b-c3000000bd439362"
"2022-07-23 15:33:32.837","60:d8:22:3b:36:6d","5afd13b61901-13847cb01e31d932-c3000000bd92ff1c"
"2022-07-23 15:49:02.901","45:d0:f1:4a:09:1a","5afd13b71901-13847cb01e31d932-c3000000572de78d"
"2022-07-23 16:04:32.987","6f:40:42:4a:71:2c","5afd13b81901-13847cb01e31d932-c300000062690d51"
"2022-07-23 16:20:03.106","60:17:dc:c7:31:05","5afd13b91901-13847cb01e31d932-c30000003a143e40"
"2022-07-23 16:35:33.191","65:ac:b9:af:0a:15","5afd13ba1901-13847cb01e31d932-c3000000ca467a1f"
"2022-07-23 16:51:03.306","78:b7:64:d8:fa:fa","5afd13bb1901-13847cb01e31d932-c3000000f7d1ca60"
"2022-07-23 17:06:33.429","48:45:aa:e2:ce:1f","5afd13bc1901-13847cb01e31d932-c3000000a0fc802f"
"2022-07-23 17:22:03.547","41:32:39:bb:bf:b9","5afd13bd1901-13847cb01e31d932-c3000000ca32fcab"
