"Time","MAC Address","Service Data"
"2022-08-29 23:11:09.529","07:14:a9:f3:75:bd","5afd15b42701-f28460644c761a8e-c30000000a929287"
"2022-08-29 23:11:09.530","01:a4:96:d0:63:be","5afd11b42701-f28460644c761a8e-c30000000308f1f4"
"2022-08-29 23:26:39.646","1b:98:b7:7e:f3:10","5afd12b52701-03afe98bade09c39-c300000067f200f7"
"2022-08-29 23:42:09.711","17:cb:1d:f0:8c:08","5afd12b62701-0a3fc21cce611919-c3000000dc426388"
"2022-08-29 23:57:39.830","08:31:13:93:f1:d6","5afd12b72701-da34cdccfd36f934-c3000000e458ac24"
"2022-08-30 00:13:09.950","37:a6:74:14:db:03","5afd12b82701-376600a6de2e08f0-c30000008365db88"
"2022-08-30 00:28:39.979","39:6a:a0:70:c7:89","5afd12b92701-941e3914f1b5185c-c30000002e0b70d1"
"2022-08-30 00:44:10.097","01:8d:20:de:60:2a","5afd12ba2701-799aee05726d9eeb-c3000000b31d3ace"
"2022-08-30 00:59:40.143","26:2c:e4:26:02:df","5afd12bb2701-966ccef148237846-c3000000ed367644"
"2022-08-30 01:15:10.259","14:52:b3:25:3f:5a","5afd12bc2701-d5ee442a620759de-c300000004591454"
"2022-08-30 01:15:10.260","1d:47:35:6a:07:08","5afd12bd2701-545a19aad1d8ea0b-c30000001cab14df"
"2022-08-30 01:30:40.330","14:03:67:ad:43:8f","5afd12be2701-30147bda61d441a1-c300000023708396"
"2022-08-30 01:46:10.452","1f:3d:29:47:f4:5e","5afd12bf2701-588134c14d8135a0-c30000008f467cac"
"2022-08-30 02:01:40.568","25:1d:d6:66:37:53","5afd12c02701-a103d34c44423c6a-c3000000510852cb"
"2022-08-30 02:17:10.588","05:3a:2d:73:df:c7","5afd12c12701-444553fbe8ad7ed6-c30000005742d303"
"2022-08-30 02:32:40.705","33:28:15:9b:e2:18","5afd12c22701-f28460644c761a8e-c300000036852594"
"2022-08-30 02:48:10.823","36:20:e7:20:30:30","5afd12c32701-f7d2b97a46bbd56f-c300000036c46f3b"
"2022-08-30 03:03:40.940","14:71:2b:6e:c4:e8","5afd12c42701-20483bdc5fc349ea-c30000008c829f92"
"2022-08-30 03:19:11.059","3d:23:3c:cb:d9:0e","5afd12c52701-2b75c25d15ed9fe1-c3000000beadc976"
"2022-08-30 03:34:41.182","19:7c:bf:d1:fe:e4","5afd12c62701-baf321cb2c9eb72c-c30000005e9d9393"
"2022-08-30 03:50:11.207","09:59:f4:d0:f0:19","5afd12c72701-71be833c4be3c5f9-c30000001bebd325"
"2022-08-30 04:05:41.325","09:53:64:b9:98:12","5afd12c82701-a103d34c44423c6a-c3000000b24cd0db"
"2022-08-30 04:21:11.367","0c:f6:ac:c5:a1:8e","5afd12c92701-dfacf909f94cbb9a-c30000002a6537c0"
"2022-08-30 04:36:41.485","2e:b2:30:92:c1:e2","5afd12ca2701-7fec007381a4d036-c30000004ddd34ae"
"2022-08-30 04:52:11.551","31:0e:9d:f7:81:b1","5afd12cb2701-fce438527d9c2ce3-c30000004ffc0025"
"2022-08-30 05:07:41.670","00:e0:37:52:83:10","5afd12cc2701-f1ec5300bb0676ef-c30000006517e470"
"2022-08-30 05:23:11.705","00:15:05:f3:b6:fc","5afd12cd2701-e900c71fb2672a2d-c3000000cf201af6"
"2022-08-30 05:38:41.786","1a:69:64:92:a7:5b","5afd12ce2701-3404d7a9ca76d13a-c3000000b3b14546"
"2022-08-30 05:54:11.901","18:2d:64:28:54:7d","5afd12cf2701-57a6f1b453a91e99-c30000002a72833c"
"2022-08-30 06:09:42.020","3e:3c:9b:1e:15:12","5afd12d02701-bec590ab2c9e10c4-c3000000b058e90e"
"2022-08-30 06:25:12.134","06:0d:89:ca:e2:91","5afd12d12701-9b2b0be668f3292c-c3000000520834d3"
"2022-08-30 06:40:42.189","33:f2:25:dd:84:ff","5afd12d22701-f5620286b7e61eb8-c3000000ebb26dfd"
"2022-08-30 06:56:12.213","1a:2b:26:de:44:11","5afd12d32701-4a121790a4c37fa7-c300000048e175f5"
"2022-08-30 07:11:42.336","13:8c:3f:0a:ac:0c","5afd12d42701-342656cd65cf1740-c3000000db8794cd"
"2022-08-30 07:27:12.451","0a:1c:c4:4e:2f:e0","5afd12d52701-3404d7a9ca76d13a-c3000000e3459fb9"
"2022-08-30 07:42:42.521","1d:80:98:4d:6d:94","5afd12d62701-308c4ecbd2bcd160-c3000000ff6a43c4"
"2022-08-30 07:58:12.664","09:54:85:69:e0:c6","5afd12d72701-5a9fea52ec9827b2-c3000000281867c0"
"2022-08-30 08:13:42.780","24:2c:79:df:73:c6","5afd12d82701-03ba7a803a5aef28-c3000000b3b08925"
"2022-08-30 08:29:12.816","08:0c:e6:69:ca:f4","5afd12d92701-1a760823f2c2ffd7-c30000004b7e52a4"
"2022-08-30 08:44:42.840","1e:43:ee:a2:43:d2","5afd12da2701-155038b2fe617380-c30000007c934de3"
"2022-08-30 09:00:12.955","20:84:ae:2f:87:4e","5afd12db2701-708e1a77f2ae505c-c30000006d57dbf7"
"2022-08-30 09:00:12.956","2d:96:1b:22:96:07","5afd12dc2701-480345f1a272e231-c30000002b643427"
"2022-08-30 09:15:43.080","3e:4d:c6:30:f0:da","5afd12dd2701-d9e5442816d26ca6-c300000045aa47dc"
"2022-08-30 09:31:13.195","08:91:b6:72:13:bc","5afd12de2701-5d94925fd36bbfe3-c3000000427056b6"
"2022-08-30 09:46:43.314","28:f3:c1:bb:45:5e","5afd12df2701-164c8c0254775af0-c3000000aa162a5e"
"2022-08-30 10:02:13.399","2f:eb:59:7a:aa:b4","5afd12e02701-f3c86208e8c2dda8-c30000000d98a343"
"2022-08-30 10:17:43.515","07:f1:0c:5a:61:66","5afd12e12701-f032d2bea044de9b-c3000000aad724b0"
"2022-08-30 10:33:13.635","18:a1:9d:35:1a:63","5afd12e22701-08023e3e02b55bbb-c3000000933aea5a"
"2022-08-30 10:48:43.755","29:c0:31:d2:46:f6","5afd12e32701-e33b2215f1ebe5af-c3000000fdbf78e7"
"2022-08-30 11:04:13.787","3a:06:da:06:ca:c3","5afd12e42701-30147bda61d441a1-c3000000051d64f9"
"2022-08-30 11:19:43.904","1b:52:8b:13:ce:0b","5afd12e52701-d5eae2451293d0cc-c300000089dc24fa"
"2022-08-30 11:35:14.021","37:35:96:4b:ee:ea","5afd12e62701-afae3d59d21ca354-c3000000764b0e92"
"2022-08-30 11:50:44.111","01:b2:c1:8f:4e:27","5afd12e72701-1b3e0b0d16e9df06-c300000033716805"
"2022-08-30 12:06:14.230","3c:a2:bc:06:9b:d9","5afd12e82701-18f8da89ab515c51-c3000000a3046c49"
"2022-08-30 12:21:44.311","35:92:ae:21:14:8d","5afd12e92701-8e7e7aa3aa83c549-c300000069158305"
"2022-08-30 12:37:14.426","2f:a4:15:db:52:65","5afd12ea2701-2da7a41e7ca84a50-c30000000d86f9e3"
"2022-08-30 12:52:44.517","13:e7:1a:0b:98:46","5afd12eb2701-c1c5c60c6139d991-c300000083a4f883"
"2022-08-30 13:08:14.545","0f:06:04:d8:b3:b5","5afd12ec2701-3db8955fedc4c386-c300000003dbad1a"
"2022-08-30 13:23:44.567","29:e5:d7:13:c9:5e","5afd12ed2701-851b6d52135a83d1-c30000008d6669a9"
"2022-08-30 13:39:14.598","34:c9:ea:51:95:e1","5afd12ee2701-e9b778b5223d8aec-c300000074c51dd9"
"2022-08-30 13:54:44.698","27:72:d4:8c:ca:7a","5afd12ef2701-0633663f123a3583-c3000000e94cdcd3"
"2022-08-30 14:10:14.814","18:0f:e0:66:eb:8d","5afd12f02701-d5ee442a620759de-c300000029dd32a1"
"2022-08-30 14:25:44.893","0d:d3:dc:9f:ab:67","5afd12f12701-c1c5c60c6139d991-c300000036ed9431"
"2022-08-30 14:41:14.964","39:57:ed:9a:97:7c","5afd12f22701-5e86c57d1482ef37-c3000000db430925"
"2022-08-30 14:56:45.080","38:43:2c:96:6e:4c","5afd12f32701-a7b9ed125772b659-c30000007aee06c1"
"2022-08-30 15:12:15.115","23:42:5f:d7:7a:69","5afd12f42701-033308200e783157-c30000007b0a6a71"
"2022-08-30 15:27:45.209","3b:f2:e0:76:13:3b","5afd12f52701-57a6f1b453a91e99-c3000000f60a3746"
"2022-08-30 15:43:15.321","3c:72:fe:bd:e1:56","5afd12f62701-5b77818094208346-c300000098934676"
"2022-08-30 15:58:45.382","35:10:59:5c:8b:eb","5afd12f72701-1f0fccdd322d2974-c300000030032671"
"2022-08-30 16:14:15.463","15:45:b6:fe:e2:12","5afd12f82701-99c795d38987ff77-c30000002e9af62a"
"2022-08-30 16:29:45.580","04:8b:f8:e7:37:26","5afd12f92701-86ec0524945c79d5-c3000000480cd487"
"2022-08-30 16:45:15.703","31:e1:81:47:60:06","5afd12fa2701-dfa92953fc6ac119-c3000000bb6e248a"
"2022-08-30 16:45:15.704","23:83:fd:04:ee:6f","5afd12fb2701-fe8a1d6224367cda-c300000059eebe31"
"2022-08-30 17:00:45.829","38:a2:0f:b3:c9:b2","5afd12fc2701-0cb5e874d9507b46-c300000061648b43"
"2022-08-30 17:16:15.900","0d:07:0a:37:8d:d3","5afd12fd2701-d8394400d4069f1d-c3000000e3fd8720"
"2022-08-30 17:31:46.000","30:05:46:08:e3:f4","5afd12fe2701-4952c02e640e2789-c3000000cb659836"
"2022-08-30 17:47:16.073","0c:37:cb:38:71:e2","5afd12ff2701-cfc1ed19193899c1-c300000095bcda67"
"2022-08-30 18:02:46.096","2d:81:b8:be:8d:fa","5afd12002801-d302ab6db627e0a3-c30000005b008be3"
"2022-08-30 18:18:16.215","1c:b7:ca:bb:64:3c","5afd12012801-cd395c8a0217be9c-c3000000d37e1f51"
"2022-08-30 18:33:46.332","2d:a1:e4:66:33:c0","5afd12022801-a7fc7df2c25a97c0-c3000000f45a170a"
"2022-08-30 18:49:16.428","17:32:1b:35:a6:ce","5afd12032801-9932b1d0a564174d-c3000000be5fb208"
"2022-08-30 19:04:46.544","1d:37:f7:d1:bd:a2","5afd12042801-59dccecd72d72c21-c3000000e8b04c41"
"2022-08-30 19:20:16.666","1d:59:7a:2b:d8:ab","5afd12052801-c74ca33084f6aaa1-c30000006bbaa6b0"
"2022-08-30 19:35:46.718","3c:54:a7:4a:36:f3","5afd12062801-b34fc7564d94889b-c3000000e8437cb1"
"2022-08-30 19:51:16.814","05:2f:c2:7b:25:cb","5afd12072801-9ea987040555d066-c3000000655392a1"
"2022-08-30 20:06:46.942","0c:d1:d6:13:60:39","5afd12082801-fdb06d0cf17df494-c3000000bfd78681"
"2022-08-30 20:22:17.061","23:07:ef:3d:c6:c6","5afd12092801-af2761d6ec3332f6-c3000000a13d907f"
"2022-08-30 20:37:47.096","03:32:f0:5e:c4:c0","5afd120a2801-dbb6e3267168e1d6-c30000009b054126"
